Symbol,Close,Volume,ADX,RSI,HV,Trend_Score,Stability_Score,Vol_Score,Status,Stability,Confidence,StopLoss_L,StopLoss_H,Target_Put,Target_Call,Passed
HDFCBANK,819.6,56061789,29.37,81.53,13.33,41.25,0.0,22.12,Trending,Volatile,20.93,778.62,860.58,754.03,885.17,False
IFCI,72.17,14518217,13.63,45.42,36.34,72.73,77.12,60.32,Sideways,Stable,72.01,68.56,75.78,66.4,77.94,True
TATACHEM,698.45,161924,26.11,57.39,19.31,47.77,63.06,32.05,Trending,Stable,50.74,663.53,733.37,642.57,754.33,False
ETERNAL,286.6,16701880,30.01,34.31,32.87,39.98,21.57,54.56,Trending,Volatile,35.53,272.27,300.93,263.67,309.53,False
PINELABS,153.17,5956769,26.95,47.66,53.9,46.09,88.3,89.47,Trending,Stable,71.65,145.51,160.83,140.92,165.42,False
RIR,157.76,64158,8.62,42.86,51.72,82.77,64.32,85.86,Sideways,Stable,76.01,149.87,165.65,145.14,170.38,True
NIACL,174.82,559112,9.59,48.56,39.6,80.82,92.79,65.74,Sideways,Stable,82.59,166.08,183.56,160.83,188.81,True
RATNAVEER,180.66,3290397,35.98,32.7,72.22,28.05,13.51,100.0,Trending,Volatile,36.62,171.63,189.69,166.21,195.11,False
SHAREINDIA,177.24,1093848,17.66,45.17,38.54,64.68,75.86,63.97,Sideways,Stable,69.01,168.38,186.1,163.06,191.42,True
HBLENGINE,741.9,890084,10.81,60.48,29.76,78.38,47.61,49.39,Sideways,Volatile,60.28,704.8,779.0,682.55,801.25,False
TATASTEEL,185.89,11188887,14.48,49.43,18.58,71.04,97.13,30.85,Sideways,Stable,73.44,176.6,195.18,171.02,200.76,True
HDFCLIFE,563.65,1252168,9.57,61.38,18.1,80.86,43.09,30.05,Sideways,Volatile,55.59,535.47,591.83,518.56,608.74,False
GNFC,502.7,140426,27.64,36.59,30.99,44.72,32.97,51.44,Trending,Volatile,41.36,477.56,527.84,462.48,542.92,False
KOTAKBANK,389.95,32539419,21.49,47.23,12.81,57.01,86.13,21.26,Sideways,Stable,61.51,370.45,409.45,358.75,421.15,True
GROWW,208.3,27735881,22.63,67.03,18.15,54.74,14.87,30.13,Sideways,Volatile,33.87,197.88,218.72,191.64,224.96,False
MOTISONS,13.99,8166239,12.67,41.5,63.59,74.67,57.49,100.0,Sideways,Stable,72.86,13.29,14.69,12.87,15.11,True
BHEL,422.0,12038780,8.87,56.87,25.35,82.25,65.64,42.08,Sideways,Stable,67.57,400.9,443.1,388.24,455.76,True
TMPV,335.6,7562963,26.82,56.2,25.98,46.35,69.01,43.12,Trending,Stable,54.77,318.82,352.38,308.75,362.45,False
EMAMILTD,409.45,283507,17.54,54.87,27.71,64.92,75.65,45.99,Sideways,Stable,65.43,388.98,429.92,376.69,442.21,True
ITC,280.7,9913943,18.44,51.91,15.38,63.12,90.45,25.53,Sideways,Stable,66.53,266.66,294.74,258.24,303.16,True
LENSKART,537.2,7257725,37.37,32.85,23.32,25.27,14.25,38.7,Trending,Volatile,23.55,510.34,564.06,494.22,580.18,False
MOREPENLAB,58.9,4674638,60.6,33.3,93.86,0.0,16.49,100.0,Trending,Volatile,26.59,55.96,61.84,54.19,63.61,False
KALYANKJIL,574.4,22893886,12.6,44.74,45.79,74.8,73.7,76.02,Sideways,Stable,74.6,545.68,603.12,528.45,620.35,True
BEL,409.45,5382967,23.48,60.55,20.8,53.05,47.24,34.53,Sideways,Volatile,47.02,388.98,429.92,376.69,442.21,False
EMUDHRA,448.1,65982,28.04,27.18,33.89,43.93,0.0,56.26,Trending,Volatile,28.82,425.7,470.51,412.25,483.95,False
LIQUIDCASE,115.07,12556049,100.0,0.0,0.21,0.0,0.0,0.35,Trending,Volatile,0.07,109.32,120.82,105.86,124.28,False
SILVERBEES,204.92,18491420,17.34,37.21,22.83,65.31,36.05,37.89,Sideways,Volatile,48.12,194.67,215.17,188.53,221.31,False
LICI,433.1,828660,23.84,64.33,38.45,52.31,28.33,63.83,Sideways,Volatile,45.02,411.44,454.76,398.45,467.75,False
PCJEWELLER,9.7,376893054,14.22,44.63,33.13,71.55,73.17,55.0,Sideways,Stable,68.89,9.21,10.18,8.92,10.48,True
GOLDBEES,115.79,13869503,34.58,32.14,14.94,30.85,10.72,24.8,Trending,Volatile,21.59,110.0,121.58,106.53,125.05,False
JIOFIN,242.98,19257829,33.25,49.86,30.72,33.5,99.31,51.0,Trending,Stable,63.32,230.83,255.13,223.54,262.42,False
REDINGTON,275.05,1055341,27.66,30.24,53.76,44.67,1.19,89.24,Trending,Volatile,36.19,261.3,288.8,253.05,297.05,False
VAML,442.0,5685137,25.34,49.79,27.63,49.33,98.97,45.86,Trending,Stable,68.49,419.9,464.1,406.64,477.36,False
IDEA,13.74,324121150,22.94,56.61,29.75,54.12,66.94,49.39,Sideways,Stable,58.3,13.05,14.43,12.64,14.84,True
TATAINVEST,662.3,123464,29.77,49.56,26.45,40.46,97.8,43.91,Trending,Stable,64.09,629.18,695.42,609.32,715.28,False
ONGC,247.29,10627783,26.47,59.06,18.73,47.06,54.68,31.1,Trending,Stable,46.91,234.93,259.65,227.51,267.07,False
SWIGGY,276.87,9205767,15.0,51.61,41.04,70.0,91.94,68.13,Sideways,Stable,78.4,263.03,290.71,254.72,299.02,True
SONACOMS,704.85,2929307,23.16,32.37,32.46,53.68,11.87,53.88,Sideways,Volatile,37.0,669.61,740.09,648.46,761.24,False
GRAPHITE,644.65,500389,21.85,36.78,37.79,56.3,33.88,62.73,Sideways,Volatile,48.62,612.42,676.88,593.08,696.22,False
PAISALO,71.75,27003541,28.82,47.07,23.49,42.36,85.37,38.99,Trending,Stable,58.89,68.16,75.34,66.01,77.49,False
AWHCL,445.15,38099,34.89,74.47,27.97,30.21,0.0,46.43,Trending,Volatile,21.37,422.89,467.41,409.54,480.76,False
HINDCOPPER,486.15,2259935,23.42,43.62,46.92,53.16,68.08,77.89,Sideways,Stable,64.07,461.84,510.46,447.26,525.04,True
AFCONS,299.75,1283422,24.14,69.54,27.35,51.72,2.3,45.41,Sideways,Volatile,30.69,284.76,314.74,275.77,323.73,False
PFOCUS,289.47,676888,15.68,48.05,44.83,68.65,90.26,74.42,Sideways,Stable,78.45,275.0,303.94,266.31,312.63,True
PFC,404.85,4574238,39.9,54.33,33.14,20.2,78.37,55.01,Trending,Stable,50.43,384.61,425.09,372.46,437.24,False
APOLLO,397.8,3635432,7.79,55.1,32.83,84.41,74.5,54.51,Sideways,Stable,74.47,377.91,417.69,365.98,429.62,True
